                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.52024,                0.82444,                 1.0709,                0.90011,                0.70751,                0.86111,                0.67436,                0.80167,                 1.1422,                 1.4672,             0.00074804,             0.00074804,             0.00074804
                     36,                0.56957,                  0.838,                 1.0836,                0.86964,                  0.723,                0.88613,                0.73777,                0.62166,                 1.0717,                 1.3261,             0.00073704,             0.00073704,             0.00073704
                     37,                0.54505,                0.80908,                 1.1031,                0.89263,                0.79906,                 0.9146,                0.77467,                0.67226,                0.87858,                 1.3228,             0.00072604,             0.00072604,             0.00072604
                     38,                0.56543,                0.81674,                 1.0905,                0.83231,                 0.8718,                0.93756,                0.78848,                0.62209,                0.93987,                  1.264,             0.00071504,             0.00071504,             0.00071504
                     39,                0.57161,                0.81263,                 1.0874,                0.87209,                 0.9058,                0.95263,                0.81913,                 0.5938,                0.81421,                 1.2257,             0.00070404,             0.00070404,             0.00070404
                     40,                0.56948,                0.78474,                 1.1071,                0.90202,                0.84253,                0.94741,                0.81896,                 0.6023,                0.80024,                 1.2364,             0.00069304,             0.00069304,             0.00069304
                     41,                0.51523,                0.70091,                 1.0658,                0.77788,                 0.8075,                0.88527,                0.76592,                0.59065,                0.90913,                 1.2188,             0.00068204,             0.00068204,             0.00068204
                     42,                0.53791,                0.76374,                  1.084,                0.81288,                0.82802,                0.91787,                0.79201,                0.61653,                0.86831,                 1.2566,             0.00067104,             0.00067104,             0.00067104
                     43,                0.51718,                0.78323,                  1.064,                0.88564,                0.71882,                0.88076,                0.75416,                0.66225,                0.89791,                 1.2995,             0.00066005,             0.00066005,             0.00066005
                     44,                 0.5278,                 0.7218,                 1.0652,                0.81355,                0.72429,                 0.8239,                0.70742,                 0.6246,                 1.1385,                 1.2617,             0.00064905,             0.00064905,             0.00064905
                     45,                0.51386,                0.71394,                  1.061,                0.82272,                0.82375,                0.87547,                0.76819,                 0.6241,                0.86972,                  1.254,             0.00063805,             0.00063805,             0.00063805
                     46,                0.49815,                0.71203,                  1.062,                 0.8206,                0.80472,                0.85489,                0.73541,                0.60539,                 1.0073,                 1.2036,             0.00062705,             0.00062705,             0.00062705
                     47,                0.50397,                0.68815,                 1.0328,                0.81599,                0.86196,                0.91075,                0.77932,                0.60063,                0.79587,                 1.2252,             0.00061605,             0.00061605,             0.00061605
                     48,                0.52604,                0.74067,                  1.078,                0.87247,                0.82326,                0.91274,                0.76999,                0.62756,                0.88959,                 1.2272,             0.00060505,             0.00060505,             0.00060505
                     49,                0.49173,                0.69677,                 1.0554,                0.92043,                0.79798,                0.94578,                0.81447,                0.55056,                0.75281,                 1.1619,             0.00059405,             0.00059405,             0.00059405
                     50,                0.50368,                0.70303,                 1.0494,                0.92159,                0.85057,                0.93049,                 0.7942,                0.58808,                0.78578,                 1.2175,             0.00058305,             0.00058305,             0.00058305
                     51,                0.51165,                 0.7024,                 1.0581,                0.83685,                0.87939,                0.91499,                0.77508,                0.55112,                0.83351,                 1.1756,             0.00057205,             0.00057205,             0.00057205
                     52,                0.51235,                0.71059,                 1.0611,                0.90676,                0.78965,                0.90808,                0.78731,                0.54865,                0.82137,                 1.1824,             0.00056105,             0.00056105,             0.00056105
                     53,                0.48945,                0.68827,                 1.0536,                0.86945,                0.83199,                0.92551,                0.79544,                0.56858,                0.80503,                 1.1985,             0.00055006,             0.00055006,             0.00055006
                     54,                0.49614,                0.68109,                 1.0566,                0.92211,                 0.8587,                0.94001,                0.80959,                0.54518,                0.66328,                 1.1893,             0.00053906,             0.00053906,             0.00053906
                     55,                0.49383,                0.65427,                 1.0664,                0.89828,                0.84802,                0.93112,                0.79074,                0.61879,                0.69705,                 1.2263,             0.00052806,             0.00052806,             0.00052806
                     56,                0.50051,                0.68733,                 1.0564,                0.77114,                0.81993,                0.87146,                0.74422,                 0.6052,                0.93808,                 1.2334,             0.00051706,             0.00051706,             0.00051706
                     57,                0.47445,                0.62918,                 1.0316,                0.82276,                0.82713,                0.89839,                0.77854,                 0.5937,                0.83746,                 1.2144,             0.00050606,             0.00050606,             0.00050606
                     58,                0.45997,                0.61647,                 1.0401,                0.92135,                0.78106,                0.89602,                0.76468,                0.58623,                0.89435,                 1.2357,             0.00049506,             0.00049506,             0.00049506
                     59,                0.48993,                0.63556,                  1.051,                0.86613,                 0.8143,                0.91713,                0.80209,                0.52934,                0.80744,                  1.154,             0.00048406,             0.00048406,             0.00048406
                     60,                0.47261,                0.59832,                   1.03,                0.84553,                0.83459,                0.93703,                0.82722,                0.53488,                0.69512,                 1.1511,             0.00047306,             0.00047306,             0.00047306
                     61,                0.47567,                0.60033,                 1.0392,                0.95622,                0.81772,                0.95775,                0.84066,                0.54162,                0.60904,                 1.1668,             0.00046206,             0.00046206,             0.00046206
                     62,                0.46034,                0.59149,                 1.0458,                0.92284,                0.83162,                0.93637,                0.82815,                0.55224,                0.68572,                 1.1819,             0.00045107,             0.00045107,             0.00045107
                     63,                 0.4642,                0.60023,                 1.0384,                0.88727,                0.83133,                0.92485,                0.81505,                0.49325,                0.76858,                 1.1197,             0.00044007,             0.00044007,             0.00044007
                     64,                0.45831,                0.56869,                  1.021,                0.80918,                0.86586,                0.91387,                0.81053,                0.51515,                0.79255,                 1.1319,             0.00042907,             0.00042907,             0.00042907
                     65,                0.44367,                0.55219,                 1.0252,                0.85025,                0.92596,                0.94965,                0.85446,                0.46998,                0.62134,                 1.0868,             0.00041807,             0.00041807,             0.00041807
                     66,                0.46659,                0.58887,                 1.0404,                  0.848,                0.92989,                 0.9553,                0.83318,                0.52019,                0.60843,                 1.1474,             0.00040707,             0.00040707,             0.00040707
                     67,                0.42878,                0.55153,                 1.0114,                0.85076,                0.87935,                0.92998,                0.81456,                0.54017,                 0.6976,                 1.1749,             0.00039607,             0.00039607,             0.00039607
                     68,                0.46045,                0.60542,                 1.0397,                0.90441,                0.85654,                0.94259,                0.82251,                0.54542,                0.65843,                 1.1745,             0.00038507,             0.00038507,             0.00038507
                     69,                0.43756,                0.57211,                 1.0201,                 0.9118,                0.84687,                0.94391,                0.84117,                0.50796,                0.66946,                 1.1386,             0.00037407,             0.00037407,             0.00037407
                     70,                0.43144,                0.56608,                 1.0234,                0.89876,                0.84769,                 0.9383,                0.83555,                0.49634,                0.66243,                 1.1207,             0.00036307,             0.00036307,             0.00036307
                     71,                 0.4149,                0.52246,                 1.0049,                0.93589,                0.89207,                 0.9543,                 0.8446,                 0.5127,                 0.6038,                  1.141,             0.00035208,             0.00035208,             0.00035208
                     72,                 0.4435,                0.55272,                 1.0188,                0.83883,                0.89965,                0.94927,                0.82525,                0.56108,                0.69469,                 1.1552,             0.00034108,             0.00034108,             0.00034108
                     73,                0.43433,                 0.5355,                 1.0043,                 0.8267,                0.89611,                0.92992,                0.82408,                0.51648,                0.71907,                 1.1437,             0.00033008,             0.00033008,             0.00033008
                     74,                0.42427,                 0.5342,                 1.0196,                 0.8475,                 0.8617,                0.93299,                0.83724,                0.48155,                0.66832,                 1.1281,             0.00031908,             0.00031908,             0.00031908
                     75,                 0.4365,                0.54039,                 1.0251,                0.85725,                0.83172,                0.92778,                0.83629,                0.48306,                0.75959,                 1.1134,             0.00030808,             0.00030808,             0.00030808
                     76,                0.41098,                0.50233,                 1.0153,                0.86951,                0.84491,                0.94412,                0.85414,                0.49061,                0.65448,                 1.1161,             0.00029708,             0.00029708,             0.00029708
                     77,                0.41066,                0.50845,                0.99988,                0.82439,                0.89127,                0.94923,                0.84401,                0.51828,                0.67124,                 1.1487,             0.00028608,             0.00028608,             0.00028608
